VALOR;VIGENCIADESDE;VIGENCIAHASTA
2,911.74;11/04/2003;11/04/2003
2,923.07;12/04/2003;14/04/2003
2,931.69;15/04/2003;15/04/2003
2,919.58;16/04/2003;16/04/2003
2,918.01;17/04/2003;21/04/2003
2,920.04;22/04/2003;22/04/2003
2,916.03;23/04/2003;23/04/2003
2,911.00;24/04/2003;24/04/2003
2,908.25;25/04/2003;25/04/2003
2,912.83;26/04/2003;28/04/2003
2,900.00;29/04/2003;29/04/2003
2,887.82;30/04/2003;30/04/2003
2,868.43;01/05/2003;02/05/2003
2,865.94;03/05/2003;05/05/2003
2,858.37;06/05/2003;06/05/2003
2,856.98;07/05/2003;07/05/2003
2,866.06;08/05/2003;08/05/2003
2,848.41;09/05/2003;09/05/2003
2,840.04;10/05/2003;12/05/2003
2,833.86;13/05/2003;13/05/2003
2,813.60;14/05/2003;14/05/2003
2,821.08;15/05/2003;15/05/2003
2,827.99;16/05/2003;16/05/2003
2,816.46;17/05/2003;19/05/2003
2,874.77;20/05/2003;20/05/2003
2,909.83;21/05/2003;21/05/2003
2,912.46;22/05/2003;22/05/2003
2,905.91;23/05/2003;23/05/2003
2,868.37;24/05/2003;26/05/2003
2,868.37;27/05/2003;27/05/2003
2,850.03;28/05/2003;28/05/2003
2,874.91;29/05/2003;29/05/2003
2,855.88;30/05/2003;30/05/2003
2,853.33;31/05/2003;03/06/2003
2,846.16;04/06/2003;04/06/2003
2,849.71;05/06/2003;05/06/2003
2,839.21;06/06/2003;06/06/2003
2,828.20;07/06/2003;09/06/2003
2,818.50;10/06/2003;10/06/2003
2,809.63;11/06/2003;11/06/2003
2,821.27;12/06/2003;12/06/2003
2,832.20;13/06/2003;13/06/2003
2,821.61;14/06/2003;16/06/2003
2,818.62;17/06/2003;17/06/2003
2,828.96;18/06/2003;18/06/2003
2,829.42;19/06/2003;19/06/2003
2,827.40;20/06/2003;20/06/2003
2,826.36;21/06/2003;24/06/2003
2,815.26;25/06/2003;25/06/2003
2,806.96;26/06/2003;26/06/2003
2,812.28;27/06/2003;27/06/2003
2,817.32;28/06/2003;01/07/2003
2,817.63;02/07/2003;02/07/2003
2,812.40;03/07/2003;03/07/2003
2,815.14;04/07/2003;07/07/2003
2,820.85;08/07/2003;08/07/2003
2,838.88;09/07/2003;09/07/2003
2,846.89;10/07/2003;10/07/2003
2,855.41;11/07/2003;11/07/2003
2,856.96;12/07/2003;14/07/2003
2,871.88;15/07/2003;15/07/2003
2,879.37;16/07/2003;16/07/2003
2,888.57;17/07/2003;17/07/2003
2,883.90;18/07/2003;18/07/2003
2,880.69;19/07/2003;21/07/2003
2,878.33;22/07/2003;22/07/2003
2,878.56;23/07/2003;23/07/2003
2,882.70;24/07/2003;24/07/2003
2,887.31;25/07/2003;25/07/2003
2,888.32;26/07/2003;28/07/2003
2,883.15;29/07/2003;29/07/2003
2,873.17;30/07/2003;30/07/2003
2,880.40;31/07/2003;31/07/2003
2,879.60;01/08/2003;01/08/2003
2,886.87;02/08/2003;04/08/2003
2,894.58;05/08/2003;05/08/2003
2,901.09;06/08/2003;06/08/2003
2,887.05;07/08/2003;08/08/2003
2,875.18;09/08/2003;11/08/2003
2,873.51;12/08/2003;12/08/2003
2,868.50;13/08/2003;13/08/2003
2,870.67;14/08/2003;14/08/2003
2,864.81;15/08/2003;15/08/2003
2,861.34;16/08/2003;19/08/2003
2,869.29;20/08/2003;20/08/2003
2,861.63;21/08/2003;21/08/2003
2,853.56;22/08/2003;22/08/2003
