Fecha;Empresa;Moneda;Ingreso
22/10/2017;Empresa A;EURO;7.43983750908503e-05
22/11/2017;Empresa A;EURO;0.0370353986484582
22/12/2017;Empresa A;EURO;0.0308045468418989
23/01/2017;Empresa A;EURO;-0.0518186043480279
23/02/2017;Empresa A;EURO;-0.0319665322829574
23/03/2017;Empresa A;EURO;0.0425520601629069
23/04/2017;Empresa A;EURO;0.000119157787339998
23/05/2017;Empresa A;EURO;0.00808294025755173
23/06/2017;Empresa A;EURO;-0.000473097953114673
23/07/2017;Empresa A;EURO;2.3084521740996e-05
23/08/2017;Empresa A;EURO;-0.00209809505074074
23/09/2017;Empresa A;EURO;0.000144608308388791
23/10/2017;Empresa A;EURO;0.0378809252506333
23/11/2017;Empresa A;EURO;-0.00143301455396074
23/12/2017;Empresa A;EURO;0.000153788916055698
24/01/2017;Empresa A;EURO;-0.0129891996533272
24/02/2017;Empresa A;EURO;-0.0489026864388208
24/03/2017;Empresa A;EURO;0.01633161819933
24/04/2017;Empresa A;EURO;0.0631984263161867
24/05/2017;Empresa A;EURO;0.00607709081645268
24/06/2017;Empresa A;EURO;0.000128076611863705
24/07/2017;Empresa A;EURO;-0.0534786730092519
24/08/2017;Empresa A;EURO;0.00781855865795535
24/09/2017;Empresa A;EURO;0.00014460245603827
24/10/2017;Empresa A;EURO;-0.0148048002569066
24/11/2017;Empresa A;EURO;-0.0369662134792872
24/12/2017;Empresa A;EURO;0.000153788916027216
25/01/2017;Empresa A;EURO;0.086045814084372
25/02/2017;Empresa A;EURO;0.000202775943649843
25/03/2017;Empresa A;EURO;4.09763995821516e-05
25/04/2017;Empresa A;EURO;0.0261609696969039
25/05/2017;Empresa A;EURO;-0.00426048709825365
25/06/2017;Empresa A;EURO;0.000128076611923161
25/07/2017;Empresa A;EURO;-0.010689682658856
25/08/2017;Empresa A;EURO;0.00688142874205668
25/09/2017;Empresa A;EURO;0.0363847859456546
25/10/2017;Empresa A;EURO;-0.022893386936006
25/11/2017;Empresa A;EURO;0.000142400437939017
25/12/2017;Empresa A;EURO;0.000153832786783458
26/01/2017;Empresa A;EURO;0.0846969217890091
26/02/2017;Empresa A;EURO;0.000202846638342289
26/03/2017;Empresa A;EURO;4.09763995502372e-05
26/04/2017;Empresa A;EURO;-0.00470509375025776
26/05/2017;Empresa A;EURO;-0.00147882567343292
26/06/2017;Empresa A;EURO;0.000128121362601613
26/07/2017;Empresa A;EURO;0.0360812198308384
26/08/2017;Empresa A;EURO;8.69723907898003e-05
26/09/2017;Empresa A;EURO;0.0120446108521888
26/10/2017;Empresa A;EURO;0.0238991993090194
26/11/2017;Empresa A;EURO;0.000115493811672248
26/12/2017;Empresa A;EURO;-0.00046226719234757
27/01/2017;Empresa A;EURO;-0.0368347192768862
27/02/2017;Empresa A;EURO;-0.0470411435745882
27/03/2017;Empresa A;EURO;-0.0114761654
27/04/2017;Empresa A;EURO;-0.0019819417
27/05/2017;Empresa A;EURO;0.000141233476715101
27/06/2017;Empresa A;EURO;-0.0595913320707732
27/07/2017;Empresa A;EURO;-0.00283850832624172
27/08/2017;Empresa A;EURO;8.69723907898004e-05
27/09/2017;Empresa A;EURO;0.0269630451115983
27/10/2017;Empresa A;EURO;0.0672563958
27/11/2017;Empresa A;EURO;-0.0262319813494509
27/12/2017;Empresa A;EURO;-0.0214740163464291
28/01/2017;Empresa A;EURO;0.000207541428026696
28/02/2017;Empresa A;EURO;-0.010812204683692
28/03/2017;Empresa A;EURO;0.029648041640635
28/04/2017;Empresa A;EURO;0.0145450631
28/05/2017;Empresa A;EURO;0.000141211147388303
28/06/2017;Empresa A;EURO;-0.0639380496964918
28/07/2017;Empresa A;EURO;-0.0593976472874535
28/08/2017;Empresa A;EURO;-0.0496027423727586
28/09/2017;Empresa A;EURO;0.0139715456668484
28/10/2017;Empresa A;EURO;0
28/11/2017;Empresa A;EURO;0.0122247848886168
28/12/2017;Empresa A;EURO;0.00182406506701002
29/01/2017;Empresa A;EURO;0.000207447803770989
29/03/2017;Empresa A;EURO;0.0360482945197617
29/04/2017;Empresa A;EURO;0
29/05/2017;Empresa A;EURO;0.000141255806164527
29/06/2017;Empresa A;EURO;-0.0244346635760174
29/07/2017;Empresa A;EURO;9.50080987040155e-05
29/08/2017;Empresa A;EURO;-0.101277439764512
29/09/2017;Empresa A;EURO;0.00936428116138267
29/10/2017;Empresa A;EURO;0
29/11/2017;Empresa A;EURO;0.0417145526951086
29/12/2017;Empresa A;EURO;0.000146906318082789
30/01/2017;Empresa A;EURO;-0.0288100604373188
30/03/2017;Empresa A;EURO;0.0342136552010867
30/04/2017;Empresa A;EURO;0
30/05/2017;Empresa A;EURO;0.00728374201268372
30/06/2017;Empresa A;EURO;-0.0380448729941591
30/07/2017;Empresa A;EURO;9.50080987040155e-05
30/08/2017;Empresa A;EURO;0.0763723305600606
30/09/2017;Empresa A;EURO;0.000143617652109761
30/10/2017;Empresa A;EURO;0.0117243770599602
30/11/2017;Empresa A;EURO;-0.0474855376697552
30/12/2017;Empresa A;EURO;0.000146928104575163
31/01/2017;Empresa A;EURO;-0.062835801004644
31/03/2017;Empresa A;EURO;0.0284182583966308
31/05/2017;Empresa A;EURO;-0.00813268645366008
31/07/2017;Empresa A;EURO;-0.00837993335030802
31/08/2017;Empresa A;EURO;0.0343557667170292
31/10/2017;Empresa A;EURO;0.00764634643038474
31/12/2017;Empresa A;EURO;0.000146143790849673
01/01/2017;Empesa B;EURO;0.000329015589696524
01/02/2017;Empesa B;EURO;-0.00438697840084955
01/03/2017;Empesa B;EURO;0.284737110645022
01/04/2017;Empesa B;EURO;0.000118230286626786
01/05/2017;Empesa B;EURO;0
01/06/2017;Empesa B;EURO;0.0252397912180693
01/07/2017;Empesa B;EURO;0.000163756572848168
01/08/2017;Empesa B;EURO;-0.00574024610874874
01/09/2017;Empesa B;EURO;0.050587365379704
01/10/2017;Empesa B;EURO;0.000144383872652366
01/11/2017;Empesa B;EURO;0.00626037936402978
01/12/2017;Empesa B;EURO;-0.0467238457952499
02/01/2017;Empesa B;EURO;0.128337125154051
02/02/2017;Empesa B;EURO;0.0368057915562232
02/03/2017;Empesa B;EURO;0.058761598367395
02/04/2017;Empesa B;EURO;0.000118253670765376
02/05/2017;Empesa B;EURO;0.0169188844
02/06/2017;Empesa B;EURO;0.0159578904389201
02/07/2017;Empesa B;EURO;0.000163785489665817
02/08/2017;Empesa B;EURO;-1.44636554395386e-05
02/09/2017;Empesa B;EURO;0.00013874094119902
02/10/2017;Empesa B;EURO;0.0317125137773186
02/11/2017;Empesa B;EURO;0.00721966890349504
02/12/2017;Empesa B;EURO;0.000110189313055864
03/01/2017;Empesa B;EURO;0.193979019050416
03/02/2017;Empesa B;EURO;0.1048681981335
03/03/2017;Empesa B;EURO;-0.0994777819266375
03/04/2017;Empesa B;EURO;0.046805684413355
03/05/2017;Empesa B;EURO;0.0289491836
03/06/2017;Empesa B;EURO;0.000167044665558816
03/07/2017;Empesa B;EURO;0.000163785489665816
03/08/2017;Empesa B;EURO;-0.0194422104389439
03/09/2017;Empesa B;EURO;0.000138730370723957
03/10/2017;Empesa B;EURO;0.0282494231986437
03/11/2017;Empesa B;EURO;-0.0160641630580136
03/12/2017;Empesa B;EURO;0.000110222968868243
04/01/2017;Empesa B;EURO;-0.132995282235328
04/02/2017;Empesa B;EURO;0.000673121678880861
04/03/2017;Empesa B;EURO;0.000488802649451555
04/04/2017;Empesa B;EURO;-0.0277375431965276
04/05/2017;Empesa B;EURO;0.0182766764
04/06/2017;Empesa B;EURO;0.000167044665558816
04/07/2017;Empesa B;EURO;0.0283026568059794
04/08/2017;Empesa B;EURO;0.00856867817550044
